author,comment
Rohit M,"The way you teach programming is really nice!  Its very basic, it is paced very well, and it is very logical. In addition you use code snippets that are really concise. Many other videos are either too fast, or too slow, or often simply lack the logic. 

Often times one can see videos, or written programs but when the teacher doesn't tell why it should be done in a certain way, the inspiration is missing, and then it is very tempting to pick up bad habits that may look simpler, but are inefficient methods.

Keep up your good work, and every now and then when I will look for efficiency, I will search for your name :) 
Now I wish you were a data scientist at Intel where I work."
Armin Hemati,Perfect Explanation + Good Examples + Good tempo + Nice voice . thank you corey
Jeff_Mci_Gaming,"Your hands down the best damn online-teacher i've seen yet...there was one other dude on Udemy , but you've surpassed him...Your videos makes programming twice as fun because you explain things so easily for ppl to understand...I can see how this would result  in a person  spending hours at the keyboard,  generating new ways to implement their code with their newly-learned information ( at least that's what your videos have  done for me!! lol)....thanks for your hard work, Corey."
saitaro,Wow now I can decorate my decorators while I'm using my decorated functions
Caio Madalon,"The proper way to never forget how decorators work is just keeping in mind what that '@' syntax means: 



@decorator

 def function():

    ...



is equivalent to: function = decorator(function)."
Glad to Be Normal,You could be the best instructor in the entire world... nice flow!
Omar Sosa,"Dude, I seriously hope someone, somewhere, is paying you a lot of money for your knowledge xD"
felix lucaciu,Thank you Corey! Your tutorials are surpassing even the ones offered by Pluralsight!
A. Bobs,This is the best explanation of decorators that's I've come across.  Kudos!
Ajitesh Sinha,"First thing I did is like the video...
P.S---- Watched it later
That's how good you are....best teacher available.
A doubt...do we need return result in my_timer function..i mean even if we dont use return the o/p is same....since we have already included executed display_info()..it will print the contents of display_info() without return..... Correct me if I m wrong:: We need to include a executed decorated function in wrapper function and if wrapper func contains some code including executed decorator func.....then do we still need to return anything from wrapper function"
James Brown,by far the best tutorials for python i've come across
mperta lulaki,your python tutorials are works of art; really concise and educational; thanks
Alex Cooper,"""A decorator is just a function that takes another function as an argument, adds some kind of functionality, and then returns another function."""
Aria A,Crystal clear! I finally get decorators! Thank you very much!! :D
Shanmuga Raj,"Corey, You are a hero! Thank you so much for these videos, these are the best Python videos I have seen. Your teaching methodology is second to none. Thank You!!!"
Opiyo Sebastian,You not good but great! Keep up the good job Professor Corey!
swapna s,"The best python tutorial I have come across, you saved my life. Thank-you Corey"
Tyler Welch,"A 30 min video typically turns into a 2 hour video, even while being the best decorator explanation on youtube."
Chayan Mitra,Thankyou so much for this awesome decorators tutorial..really well explained..learned so much from it !
HexagonalClosePacked,Thank you. Finally understand what the @ sign does before a function!
Akshay Deshmukh,Very elaborately explained...very much understandable. Good Work
Suyash Dayal,"This was an excellent tutorial video on decorators. I have watched a lot of videos as well as read a countless number of articles/blogs on the topic... And, yet I haven't seen this kind of fluency... I absolutely love how your structure and organize your videos and then, deliver them with great control on the tempo...


At no point, I felt lost or thought to myself, I couldn't understand the concepts being shown on the screen... I consider your channel to be the best Python based channel on YouTube... While I do admire a lot of other channels, like Dan Bader's and the likes, but somehow your impeccable didactic skills make your channel a must for any Python developer, especially beginners...


Please keep doing your excellent work... And, I read your interview (that you gave on RealPython.com) and I really appreciate that you have granted access to everyone... So, young learners (especially students who are not financially capable) who are unable to pay the premium to gain access to high-quality resources on Python."
Arman Gill,"For those who have just watched the videos on first class functions and closures, video starts at 4:40."
Blek Ulv,"Corey, you never cease to amaze me!
I had seen and read several videos and docs about decorators, but I always ended with doubts and more questions. But I think I finally understand very well all I need to know about decorators. Thanks for your videos!!!"
Christopher Columbus,For me this was very confusing to learn but after watching this video 30 times i finally understand it. I would have for sure been left behind in school.
Kamol Usmonov,"That is so good man, I'm impressed by that ) Thanks so much!"
Xiao Lu,Very clear explanation. I already knew how to use a number of decorators but this is a great review for me to understand the decorators better. Thank you.
krishna kanth,OMG !!!!...You made my day...Best video so far on Decorators...My search ends now :)
ΧΡΙΣΤΙΝΑ ΤΣΙΝΙΚΟΠΟΥΛΟΥ,Thank you Corey. Excellent videos.
Luke Wells,Feels a bit like the first time I saw inception.
Songtao,So helpful! I finally understand decorators. What a brilliant explanation.
Stan Ihesiulo,"you are the khan academy of programming. may I say, even better?"
Cj Mashego,Wow!!! this is the best tutorial I've watched about decorators
Piotr Wladyka,Clear explanation giving proper focus on useful utility.
Orso De Vero,You nailed it with this videos! Very clean and clear explanations.
Rocky,"hell, you explain so well :O"
Math Jon,"hope to see you giving lectures in defcon ,someday"
Tommy Borgelin,"Great video, helped a lot. It's really complicated stuff for a brand new Python-newbie like myself."
Bijou Smith,Excellent teacher and very friendly to post your notes.  Thanks.  You're awesome.
Ponnuvel P,"I have suggested your tutorial to all of my friends. you are helping many people keep doing , thanks a lot from india."
James Frank,You have got to be one of the best teachers I have ever come across.  You explain complicated concepts extremely well. Thank you for your time and effort
Zhiwei Peng,Thanks a lot for these videos. This is very well explained.
Naresh Chandrasekaran,"Hi,
Your Python examples are very helpful and precise for understanding,
please put a video for Xml file handling."
Narek Isaghulyan,"Corey, amazing tutorials. every time I see you have a tutorial regarding the topic I'm looking for I already know I'll understand it. You should do this full-time. I'll donate :)"
Mr. Kennedy,Mighty powerful stuff here! Thank you for the excellent explanation and practical examples!!!
Thunder426,"Well explained, made easy, very helpful. Thanks for the video."
R M,"I definitely need to wrap my mind around wrappers, you made this task easier though. Thanks!"
R. Gomes,"Worthy material,  good job. Thanks."
Jason Clement,These python tutorials are the best on youtube.
Justin Ma,"Great and clear. 

This helped with supplementary reading. 

Thanks for these videos"
o yahya,"Perfect, so far the best touter in youtube, i am not going to mention what others mentioned coz it's all true. Good job and keep up"
Tega Okeremeta,"Great job, well explained , thank you."
Manoj Kumar,"A million Thanks, Corey"
shashidhar devraj,Thanks a lot for this video. You are really awesome. I was struggling to understand this concept.
Kristian Mandrup,This is also known as Higher Order Functions (HOF)
manisha,You are awesome. the explanation is crystal clear !
SecDevOpsAI,Extremely clear explanation of decorators.  Thanks for taking the time to create this!
Rijo Alex,"First off, Amazing Video; really well explained!! I spent the whole day trying to understand what decorators & closures were until I came across your videos. I don't think that this video was particularly long for it's nature of intuition and complexity. Thank you so much, Corey!! Subbed for life :D"
דני קונופליה,"This is an another example of the very common witty remark.Thing is not complicated as it looks from a first glance, we only need a proper man who can explain it clearly. You are the man ! Thank you very much!"
LA AL,"This is the first contact for me with decorators and surprisingly i have got it completely, that's rarely happen to me specially with such complicated concept, usually I need a week at least and tons of resources to make sense out of it.
Your videos invaluable treasure, We couldn't thank you enough no matter how many times we say thank you.
You are literally my hero."
Timur Babadjanov,You explain this shit better than most of the professors in my school! Thank you Corey!
Mark M,"this stuff gets confusing, but you do a great job explaining!"
Monde Ngalonkulu,"Hey man, thanks so much for this.
I'm honestly in awe of how much I understand after watching your tutorial.

I'm a Python beginner and I'm implementing some tests+utils for a company's Java application. So there I have a function that I use to time other functions (that take info from csv files to database) - much like the one you have in the example! So I've updated that to a decorator. :-D
Above that, now I understand what's happening when Flask uses things like @app.route, etc

Anyways, thanks so much.
And I must say, I'm really enjoying Python"
Sudarsan D,Hey Corey nice tutorial on one of the core concepts of python.
Kelvin Quinonez,These tutorials are amazing!!!
Anil Dhar,"I have been sitting at home not much to do. So, I decided to do something useful rather than wasting my time. I chose to learn Python. It is now about  four weeks since I have been watching your Python tutorial videos. At this stage, I could call myself a basic level Python programmer. All because of the excellent videos and your stellar teaching method. So, a BIG THANK and may god bless you.


I have a question though about this video.  


Why does it print ?


display_info ran with arguments (Tom, 22)


display_info ran in: 1.0004289150238037 sec



Why not in this order?


display_info ran in: 1.0004289150238037 sec
display_info ran with arguments (Tom, 22)



Shouldn't it  first execute @any_time decorator and then the function display_info(). Am I confusing myself?  Appreciate your response."
Anum Sheraz,"Nicely explained. Infect, excellent teacher you are ! 
Thanks a bunch."
Hafidz Jazuli,"Thank you, you are give very straight forward walk trough and easy to follow explanation."
Bassam TK,you are billiant teacher
Luke Bligh,"Hi Corey, first of all amazing tutorial, but i was wondering if you - or someone else - could explain what exactly the @wraps decorator actually does? 
thanks - Luke"
Prashant Brahmbhatt,The way you do is pure art!
Lucas Costa,You are a great teacher! Thank you for making simple videos with easy explanations on these concepts. Its so hard to find someone that won't make it more difficult than it needs to be.
Pavan Kumar,"hi Corey
fantastic i have been following entire python tutorial can u upload some scripts on how to crawl a data from websites using some python lib"
Mehul Jadav,"display()

TypeError: 'NoneType' object is not callable"
Egor Fedorov,Well understandable. Awesome!!!
Mostafa Alshaboti,"That's the easiest and the best explanation I have ever found. 
Thanks A LOT."
Shweta Rajani,Very Efficient Tutorial 👍🏻👍🏻
Aerin Kim,Ah this is the best tutorial about the decorators. thank you..
Anindya Sundar Manna,You sir are a great teacher! Very useful examples with clear explanations. Thank you for these tutorials. :)
Anindya Sundar Manna,You sir are a great teacher! Very useful examples with clear explanations. Thank you for these tutorials. :)
Amy Sandstrum,Look at the logging tutorial from Corey if youre confused about the alst 1/3 part of the video.
Nightorian,"Without your explanation, my mind going to explode haha"
Raj Singh,your way of teaching is superb .........nice explanation sir
,"Decorators feels like an inverted 8
my brain hurts"
Sachin Patil,Excellent... Thank you Corey.
uday bhagwat,Really learnt a lot from you!! Thanks so much!!!
Pixelated Unicorn,"Okay.. as he said I've watched his videos on first class functions and closures. Now, I can finally watch this video! : ))"
Bowen Wang,Best programming teacher on YouTube
Classical Fun Facts,"What is your name?
Let me guess,


John?"
GrayCyberMonk,You are really Killing. I am trying to understand Decorator more than 2 months. But after your tutorial. Every this is clear. Respect.
Fly5ch,Just a simple like doesn't do this justice. Excellent explanation!
Liangyu Min,nice tutorial!!
smanolito,Your Python tutorials are big eye openers.
Sampada Khandekar,Hi Corey! Amazing tutorial as usual! But can you explain how the @wraps(original_function) preserves the information of the original function?
Gary Jeffers II,Thanks for your great videos. I'm still trying to wrap my head around closures and decorators and your videos are helping greatly.
Liqing Wang,Amazing tutorial! Love it!
The Flying Egg,Great content as always.
Michael Dymshits,"Hi Corey,

1. First of all- very nice!
2. Do you have some repository with a code from the video?"
Other Guy,"Heyy Everybody How is Going going??

Me:Like Python"
d_learner,You are an inspiration for me. I learn from you things that look impossible to learn for me. Thanks a lot.
Harika Macharla,You are too good at teaching. That's only possible when you have a clear idea of every minute thing happening and the order in which it happens. Hats off! and thanks for taking your time and teaching such complex content in such an easy way.
uma garg,very well explained. you are the best teacher
balk ball,"you forget to explain what is ""@wraps(orig_func)"". in this video you don't say any thing about Parentheses after a decorator name ..."
Weimin Wang,Best explanation of decorator!
mohamed subhi bouchi,"the best explaining i have ever seen, thx."
miguel ortiz,">> corey == ""the GOAT""
True"
Deepak N Pawate,"Thanks a lot for your explanation on decorators, helping millions to learn the difficult topic in easy way."
Pradeep Kumar,"This is best explanation on decorators, your all the videos are great. Thanks for putting it on you tube for people like me."
abhishek Singh,Extreme example and knowledge on decoraters all doubts clear 👏
Youssef NAIMI,"thank you, well explained"
Suhail Ahamed,"I just walked through this video regarding decorators, additionally i knew what are Clousers and First Class functions....Really, ur teaching is awesome Sir. Thank you"
Ken Meyer,Awesome explanation. You are a great teacher.
dibya ranjan mishra,Man You are amazing!!
Bish Bish,Finally I see the light....!:D
rajkumar singh,a blessing to the programmers! :)
Anand Joshi,your explaination is perfect.
Someone,brain.exe has stopped trying to work
pmtycoon,"Folks - many things are nested within each other, go slow with this video, pause as required, repeat and you shall get it... I spent about an hour to get my head wrapped around the wrapper and wraps decorators."
